,primaryName,birthYear,deathYear,primaryProfession
0,Fred Astaire,1899,1987,"soundtrack,actor,miscellaneous"
1,Lauren Bacall,1924,2014,"actress,soundtrack"
3,John Belushi,1949,1982,"actor,soundtrack,writer"
5,Ingrid Bergman,1915,1982,"actress,soundtrack,producer"
7,Marlon Brando,1924,2004,"actor,soundtrack,director"
8,Richard Burton,1925,1984,"actor,soundtrack,producer"
9,James Cagney,1899,1986,"actor,soundtrack,director"
11,Bette Davis,1908,1989,"actress,soundtrack,make_up_department"
17,Kirk Douglas,1916,2020,"actor,producer,soundtrack"
19,Henry Fonda,1905,1982,"actor,producer,soundtrack"
23,John Gielgud,1904,2000,"actor,writer,director"
26,Alec Guinness,1914,2000,"actor,soundtrack,writer"
28,Margaux Hemingway,1954,1996,"actress,miscellaneous"
29,Audrey Hepburn,1929,1993,"actress,soundtrack"
30,Katharine Hepburn,1907,2003,"actress,soundtrack,writer"
31,Charlton Heston,1923,2008,"actor,director,writer"
33,William Holden,1918,1981,"actor,soundtrack"
36,Gene Kelly,1912,1996,"soundtrack,actor,director"
41,Alan Ladd,1913,1964,"actor,producer,camera_department"
43,Burt Lancaster,1913,1994,"actor,producer,miscellaneous"
44,Bruce Lee,1940,1973,"actor,writer,miscellaneous"
46,Sophia Loren,1934,\N,"actress,soundtrack"
50,James Mason,1909,1984,"actor,producer,writer"
51,Marcello Mastroianni,1924,1996,"actor,producer,soundtrack"
52,Robert Mitchum,1917,1997,"actor,soundtrack,producer"
55,Paul Newman,1925,2008,"actor,producer,director"
56,David Niven,1910,1983,"actor,producer,soundtrack"
57,Maureen O'Hara,1920,2015,"actress,soundtrack"
58,Laurence Olivier,1907,1989,"actor,producer,director"
59,Gregory Peck,1916,2003,"actor,producer,soundtrack"
62,Anthony Quinn,1915,2001,"actor,producer,soundtrack"
63,Edward G. Robinson,1893,1973,"actor,soundtrack,writer"
70,James Stewart,1908,1997,"actor,soundtrack,director"
71,Elizabeth Taylor,1932,2011,"actress,soundtrack,producer"
75,François Truffaut,1932,1984,"writer,director,producer"
77,John Wayne,1907,1979,"actor,producer,soundtrack"
78,Raquel Welch,1940,\N,"actress,soundtrack,producer"
79,Orson Welles,1915,1985,"actor,director,writer"
80,Natalie Wood,1938,1981,"actress,soundtrack,music_department"
83,Gong Li,1965,\N,"actress,producer"
85,Louis de Funès,1914,1983,"actor,writer,soundtrack"
89,Armin Mueller-Stahl,1930,\N,"actor,director,writer"
91,John Cleese,1939,\N,"actor,writer,producer"
92,Brad Pitt,1963,\N,"actor,producer,soundtrack"
94,Woody Allen,1935,\N,"writer,director,actor"
95,Gillian Anderson,1968,\N,"actress,producer,soundtrack"
96,Pamela Anderson,1967,\N,"actress,producer,director"
97,Jennifer Aniston,1969,\N,"actress,producer,soundtrack"
98,Patricia Arquette,1968,\N,"actress,soundtrack,director"
99,Rowan Atkinson,1955,\N,"actor,writer,producer"
100,Dan Aykroyd,1952,\N,"writer,actor,producer"
101,Kevin Bacon,1958,\N,"actor,producer,soundtrack"
102,Fairuza Balk,1974,\N,"actress,soundtrack"
103,Antonio Banderas,1960,\N,"actor,soundtrack,writer"
104,Adrienne Barbeau,1945,\N,"actress,soundtrack"
105,Drew Barrymore,1975,\N,"producer,actress,soundtrack"
106,Kim Basinger,1953,\N,"actress,soundtrack,producer"
109,Kenneth Branagh,1960,\N,"actor,producer,director"
110,Matthew Broderick,1962,\N,"actor,soundtrack,director"
111,Pierce Brosnan,1953,\N,"actor,producer,soundtrack"
112,Sandra Bullock,1964,\N,"producer,actress,soundtrack"
113,Steve Buscemi,1957,\N,"actor,producer,director"
114,Nicolas Cage,1964,\N,"actor,producer,soundtrack"
116,Neve Campbell,1973,\N,"actress,producer,soundtrack"
118,Tia Carrere,1967,\N,"actress,soundtrack,producer"
119,Jim Carrey,1962,\N,"actor,writer,producer"
120,Phoebe Cates,1963,\N,"actress,soundtrack"
122,George Clooney,1961,\N,"actor,producer,director"
123,Jennifer Connelly,1970,\N,actress
124,Sean Connery,1930,2020,"actor,producer,soundtrack"
125,Kevin Costner,1955,\N,"actor,producer,soundtrack"
127,Russell Crowe,1964,\N,"actor,soundtrack,producer"
128,Tom Cruise,1962,\N,"actor,producer,soundtrack"
129,Jamie Lee Curtis,1958,\N,"actress,producer,director"
130,John Cusack,1966,\N,"actor,producer,writer"
131,Claire Danes,1979,\N,"actress,producer,soundtrack"
132,Geena Davis,1956,\N,"actress,producer,soundtrack"
133,Robert De Niro,1943,\N,"actor,producer,soundtrack"
134,John Denver,1943,1997,"soundtrack,music_department,actor"
135,Johnny Depp,1963,\N,"actor,producer,soundtrack"
136,Bo Derek,1956,\N,"actress,producer,miscellaneous"
137,Leonardo DiCaprio,1974,\N,"actor,producer,soundtrack"
138,Cameron Diaz,1972,\N,"actress,producer,soundtrack"
139,Michael Douglas,1944,\N,"actor,producer,soundtrack"
140,David Duchovny,1960,\N,"actor,producer,director"
141,Clint Eastwood,1930,\N,"actor,producer,director"
142,Erika Eleniak,1969,\N,actress
143,Cary Elwes,1962,\N,"actor,producer,director"
144,Sherilyn Fenn,1965,\N,"actress,soundtrack"
145,Ralph Fiennes,1962,\N,"actor,director,producer"
146,Colin Firth,1960,\N,"actor,producer,soundtrack"
147,Harrison Ford,1942,\N,"actor,writer,producer"
148,Jodie Foster,1962,\N,"actress,director,producer"
149,Michael J. Fox,1961,\N,"actor,producer,miscellaneous"
150,Morgan Freeman,1937,\N,"actor,producer,soundtrack"
151,Richard Gere,1949,\N,"actor,soundtrack,producer"
152,Gina Gershon,1962,\N,"actress,soundtrack,producer"
153,Mel Gibson,1956,\N,"actor,producer,director"
154,Whoopi Goldberg,1955,\N,"actress,producer,writer"
155,Jeff Goldblum,1952,\N,"actor,soundtrack,producer"
156,Linda Hamilton,1956,\N,actress
157,Tom Hanks,1956,\N,"producer,actor,soundtrack"
158,Teri Hatcher,1964,\N,"actress,soundtrack,writer"
159,Ethan Hawke,1970,\N,"actor,writer,producer"
160,Salma Hayek,1966,\N,"actress,producer,soundtrack"
161,Anne Heche,1969,\N,"actress,writer,producer"
162,Dustin Hoffman,1937,\N,"actor,producer,soundtrack"
163,Anthony Hopkins,1937,\N,"actor,soundtrack,composer"
164,Ron Howard,1954,\N,"actor,producer,writer"
165,Helen Hunt,1963,\N,"actress,producer,director"
166,Elizabeth Hurley,1965,\N,"actress,producer"
167,Samuel L. Jackson,1948,\N,"actor,producer,soundtrack"
168,Tommy Lee Jones,1946,\N,"actor,director,soundtrack"
169,Milla Jovovich,1975,\N,"actress,soundtrack,producer"
170,Ashley Judd,1968,\N,"actress,producer,director"
171,Harvey Keitel,1939,\N,"actor,producer,soundtrack"
172,Nicole Kidman,1967,\N,"actress,producer,soundtrack"
173,Val Kilmer,1959,\N,"actor,soundtrack,producer"
175,Nastassja Kinski,1961,\N,"actress,producer,soundtrack"
176,Kevin Kline,1947,\N,"actor,soundtrack,music_department"
177,Diane Lane,1965,\N,"actress,soundtrack"
178,Jude Law,1972,\N,"actor,producer,soundtrack"
180,Heather Locklear,1961,\N,"actress,producer,soundtrack"
181,Jennifer Lopez,1969,\N,"actress,producer,soundtrack"
182,Traci Lords,1968,\N,"actress,soundtrack,producer"
184,Dolph Lundgren,1957,\N,"actor,producer,director"
185,David Lynch,1946,\N,"writer,director,producer"
186,Madonna,1958,\N,"soundtrack,composer,music_department"
187,Steve Martin,1945,\N,"writer,actor,soundtrack"
188,Jenny McCarthy Wahlberg,1972,\N,"actress,producer,writer"
189,Matthew McConaughey,1969,\N,"actor,producer,soundtrack"
190,Ewan McGregor,1971,\N,"actor,writer,producer"
191,Alyssa Milano,1972,\N,"actress,producer,soundtrack"
192,Demi Moore,1962,\N,"actress,producer,director"
193,Julianne Moore,1960,\N,"actress,producer,soundtrack"
194,Bill Murray,1950,\N,"actor,soundtrack,writer"
195,Mike Myers,1963,\N,"actor,writer,soundtrack"
196,Jack Nicholson,1937,\N,"actor,soundtrack,producer"
197,Gary Oldman,1958,\N,"actor,soundtrack,producer"
198,Al Pacino,1940,\N,"actor,producer,soundtrack"
199,Bill Paxton,1955,2017,"actor,producer,writer"
200,Michelle Pfeiffer,1958,\N,"actress,soundtrack,producer"
201,Ryan Phillippe,1974,\N,"actor,producer,director"
202,River Phoenix,1970,1993,"actor,soundtrack"
203,Natalie Portman,1981,\N,"actress,producer,soundtrack"
204,Parker Posey,1968,\N,"actress,soundtrack,writer"
205,Keanu Reeves,1964,\N,"actor,producer,soundtrack"
206,Christina Ricci,1980,\N,"actress,producer,soundtrack"
207,Molly Ringwald,1968,\N,"actress,soundtrack,music_department"
208,Tim Robbins,1958,\N,"actor,producer,director"
209,Julia Roberts,1967,\N,"actress,producer,soundtrack"
210,Mimi Rogers,1955,\N,"actress,producer,soundtrack"
211,Meg Ryan,1961,\N,"actress,producer,soundtrack"
212,Winona Ryder,1971,\N,"actress,producer,soundtrack"
213,Mia Sara,1967,\N,"actress,soundtrack"
214,Susan Sarandon,1946,\N,"actress,producer,soundtrack"
215,Arnold Schwarzenegger,1947,\N,"actor,producer,director"
217,Kristin Scott Thomas,1960,\N,"actress,soundtrack,director"
218,Steven Seagal,1952,\N,"producer,actor,writer"
219,Joan Severance,1958,\N,"actress,producer"
220,Charlie Sheen,1965,\N,"actor,producer,soundtrack"
221,Brooke Shields,1965,\N,"actress,producer,soundtrack"
222,Elisabeth Shue,1963,\N,"actress,soundtrack,producer"
223,Alicia Silverstone,1976,\N,"actress,producer,soundtrack"
224,Christian Slater,1969,\N,"actor,producer,soundtrack"
225,Will Smith,1968,\N,"producer,actor,soundtrack"
226,Mira Sorvino,1967,\N,"actress,producer,soundtrack"
227,Kevin Spacey,1959,\N,"actor,producer,soundtrack"
229,Sylvester Stallone,1946,\N,"actor,writer,producer"
231,Sharon Stone,1958,\N,"actress,producer,soundtrack"
233,Charlize Theron,1975,\N,"producer,actress,soundtrack"
234,Uma Thurman,1970,\N,"actress,soundtrack,producer"
235,Jennifer Tilly,1958,\N,"actress,soundtrack,writer"
236,John Travolta,1954,\N,"actor,soundtrack,producer"
238,Liv Tyler,1977,\N,"actress,soundtrack,producer"
239,Skeet Ulrich,1970,\N,"actor,director,producer"
240,Jean-Claude Van Damme,1960,\N,"actor,writer,producer"
241,Mark Wahlberg,1971,\N,"producer,actor,soundtrack"
242,Denzel Washington,1954,\N,"actor,producer,soundtrack"
243,Sigourney Weaver,1949,\N,"actress,soundtrack,producer"
244,Robin Williams,1951,2014,"actor,soundtrack,writer"
245,Bruce Willis,1955,\N,"actor,producer,soundtrack"
248,James Woods,1947,\N,"actor,producer,soundtrack"
249,Renée Zellweger,1969,\N,"actress,soundtrack,producer"
253,Isabelle Adjani,1955,\N,"actress,soundtrack,producer"
254,Ben Affleck,1972,\N,"producer,actor,writer"
255,Jenny Agutter,1952,\N,"actress,soundtrack"
