index,budget_category,name,genre1,rating,country_code,nominations,accolades,decade,runtime,months,profit,score,budget,nature_profit,genre2,female_count,genre3
9,2,The Molly Maguires,drama,pg,USA,0.161823075755491,0.0,1970,124.0,May,0.057083702661179445,6.8,16.213405830762646,0,history,1.0,nan
17,0,Joe,drama,r,USA,0.0,0.0,1970,107.0,Jul,0.06402387679336946,6.8,11.571194373094205,1,thriller,1.0,nan
18,0,Cotton Comes to Harlem,action,r,USA,0.0,0.0,1970,97.0,May,0.057083702661179445,6.5,13.997832114758229,0,comedy,0.0,crime
28,1,The Great White Hope,drama,pg-13,USA,0.36602106237266546,0.0,1970,103.0,Oct,0.057083702661179445,6.9,15.89495209964411,0,romance,1.0,sport
34,0,Bloodthirsty Butchers,horror,r,USA,0.0,0.0,1970,79.0,Jan,0.057083702661179445,3.2,9.798127036878302,0,thriller,1.0,nan
41,2,Bedknobs and Broomsticks,animation,g,USA,0.33916551433151276,0.0,1970,117.0,Dec,0.057083702661179445,7.1,16.811242831518264,0,adventure,1.0,comedy
48,0,Escape from the Planet of the Apes,action,g,USA,0.0,0.0,1970,98.0,Jul,0.060641304913842994,6.3,14.73180128983843,1,sci-fi,1.0,nan
67,0,Silent Running,drama,g,USA,0.161823075755491,0.0,1970,89.0,Mar,0.057083702661179445,6.6,13.815510557964274,0,sci-fi,0.0,nan
82,0,Skyjacked,action,pg,USA,0.0,0.0,1970,101.0,Aug,0.057083702661179445,5.6,14.346138809026444,0,drama,1.0,thriller
107,0,Save the Tiger,drama,r,USA,0.33916551433151276,0.0,1970,100.0,Feb,0.057083702661179445,6.9,13.815510557964274,0,nan,1.0,nan
116,0,A Warm December,drama,pg,USA,0.0,0.0,1970,99.0,Jun,0.057083702661179445,6.1,14.914122846632385,0,romance,2.0,nan
129,0,Foxy Brown,action,r,USA,0.0,0.0,1970,92.0,Apr,0.057083702661179445,6.5,13.122363377404328,0,crime,1.0,thriller
130,0,Alice Doesn't Live Here Anymore,drama,pg,USA,0.4681200556812527,1.0,1970,112.0,May,0.0631521658908225,7.3,14.403297222866392,1,romance,2.0,nan
133,1,The Taking of Pelham One Two Three,action,r,USA,0.20419798661717445,2.0,1970,104.0,Nov,0.057083702661179445,7.7,15.424948470398375,0,crime,0.0,thriller
150,1,The Klansman,crime,r,USA,0.0,0.0,1970,112.0,Oct,0.057083702661179445,5.1,15.424948470398375,0,drama,0.0,thriller
162,0,Death Race 2000,action,r,USA,0.0,0.0,1970,80.0,Nov,0.057083702661179445,6.2,12.611537753638338,0,comedy,1.0,sci-fi
167,0,Dolemite,action,r,USA,0.0,0.0,1970,90.0,Apr,0.057083702661179445,5.6,11.512925464970229,0,comedy,0.0,crime
191,1,The Enforcer,action,r,USA,0.161823075755491,0.0,1970,96.0,Dec,0.070534017948024,6.7,16.012735135300492,1,crime,1.0,thriller
202,2,Star Wars,action,pg,USA,0.7438322323939832,4.0,1970,121.0,May,0.33319805970236555,8.6,16.213405830762646,1,adventure,1.0,fantasy
214,3,Sorcerer,adventure,pg,USA,0.20419798661717445,4.0,1970,121.0,Jun,0.04913907794009112,7.7,16.90655301132259,-1,drama,0.0,thriller
219,0,Kingdom of the Spiders,horror,pg,USA,0.23706652102292547,0.0,1970,97.0,Nov,0.057083702661179445,5.8,13.122363377404328,0,sci-fi,1.0,nan
222,2,Damnation Alley,sci-fi,pg,USA,0.0,0.0,1970,91.0,Oct,0.057083702661179445,5.2,16.64872390202049,0,nan,1.0,nan
229,0,National Lampoon's Animal House,comedy,r,USA,0.23706652102292547,0.0,1970,109.0,Jul,0.10714852430573457,7.4,14.914122846632385,1,nan,1.0,nan
230,1,Every Which Way but Loose,action,pg,USA,0.23706652102292547,0.0,1970,114.0,Dec,0.08605212054029374,6.3,15.424948470398375,1,comedy,1.0,nan
253,2,The Brink's Job,comedy,pg,USA,0.0,4.0,1970,104.0,Dec,0.054342039605456104,6.5,16.556350581889475,-1,crime,0.0,drama
276,0,The Onion Field,crime,r,USA,0.20419798661717445,0.0,1970,122.0,Feb,0.05993392871799086,6.8,14.508657738524219,1,drama,0.0,nan
283,0,Rich Kids,comedy,pg,USA,0.161823075755491,0.0,1970,101.0,Aug,0.05685112230597849,6.5,14.73180128983843,-1,drama,2.0,nan
305,1,The Hollywood Knights,comedy,r,USA,0.0,0.0,1980,91.0,May,0.05925101095748054,6.2,15.201804919084164,1,nan,1.0,nan
314,1,Bronco Billy,action,pg,USA,0.161823075755491,0.0,1980,116.0,Jun,0.06350097935117213,6.1,15.687312734865866,1,adventure,1.0,comedy
318,1,Stardust Memories,comedy,pg,USA,0.161823075755491,24.0,1980,89.0,Sep,0.05722421756604378,7.2,16.11809565095832,1,drama,2.0,nan
351,1,Carbon Copy,comedy,pg,USA,0.0,0.0,1980,92.0,Sep,0.05837202042758435,5.6,15.60727002719233,1,drama,1.0,nan
358,1,Modern Problems,comedy,pg,USA,0.0,0.0,1980,93.0,Dec,0.06364133134669618,5.0,15.89495209964411,1,fantasy,1.0,sci-fi
365,1,An Eye for an Eye,action,r,USA,0.0,0.0,1980,106.0,Aug,0.057083702661179445,5.5,15.150511624696614,0,adventure,0.0,crime
378,1,Fast Times at Ridgemont High,comedy,r,USA,0.161823075755491,0.0,1980,90.0,Aug,0.06524474395219491,7.1,15.319587954740548,1,drama,1.0,nan
382,3,Annie,comedy,pg,USA,0.4257451448195692,0.0,1980,127.0,Jun,0.05963529675271573,6.6,17.72753356339242,1,drama,2.0,family
392,2,Cat People,fantasy,r,USA,0.20419798661717445,0.0,1980,118.0,Apr,0.05311030411796079,6.2,16.70588231586044,-1,horror,1.0,thriller
395,2,The Verdict,drama,r,USA,0.4484511871574797,4.0,1980,129.0,Dec,0.07080772659032776,7.7,16.588099280204055,1,nan,1.0,nan
422,0,"Come Back to the 5 & Dime Jimmy Dean, Jimmy Dean",comedy,pg,USA,0.23706652102292547,5.0,1980,109.0,Apr,0.057080436527576925,7.2,13.652991628466498,-1,drama,3.0,nan
466,2,Gorky Park,crime,r,USA,0.161823075755491,0.0,1980,128.0,Dec,0.05739291542555712,6.7,16.523560759066484,1,drama,0.0,mystery
481,2,The Survivors,comedy,r,USA,0.0,2.0,1980,103.0,Jun,0.057806138759946474,5.8,16.300417207752275,1,crime,0.0,drama
484,0,Chained Heat,action,r,USA,0.0,0.0,1980,95.0,May,0.058853664962451833,5.0,14.038654109278484,1,crime,2.0,drama
523,1,Body Double,crime,r,USA,0.23706652102292547,0.0,1980,114.0,Oct,0.056650941764935035,6.8,16.11809565095832,-1,drama,1.0,mystery
537,1,The Woman in Red,comedy,pg-13,USA,0.23706652102292547,1.0,1980,87.0,Aug,0.06298939670315368,5.9,16.012735135300492,1,romance,1.0,nan
539,1,The Pope of Greenwich Village,action,r,USA,0.0,3.0,1980,121.0,Jun,0.05666331745652496,6.6,15.89495209964411,-1,comedy,1.0,crime
543,1,The Ice Pirates,action,pg,USA,0.0,0.0,1980,91.0,Mar,0.05898219284634738,5.6,16.012735135300492,1,adventure,1.0,comedy
551,0,"Silent Night, Deadly Night",horror,r,USA,0.0,0.0,1980,79.0,Nov,0.05759896575990305,5.8,13.878485357125662,1,thriller,3.0,nan
563,2,The River,drama,pg-13,USA,0.35320448568276447,2.0,1980,124.0,Jan,0.05473216665776788,6.3,16.70588231586044,-1,nan,1.0,nan
565,3,City Heat,action,pg,USA,0.0,3.0,1980,93.0,Dec,0.06190559806778339,5.5,17.034386382832476,1,comedy,1.0,crime
566,1,Impulse,horror,r,USA,0.0,0.0,1980,91.0,Sep,0.05447333622570017,5.9,16.11809565095832,-1,mystery,1.0,sci-fi
571,2,Protocol,comedy,pg,USA,0.0,6.0,1980,96.0,Dec,0.06220816983832315,5.4,16.300417207752275,1,nan,1.0,nan
583,2,Clue,comedy,pg,USA,0.0,1.0,1980,94.0,Dec,0.056955107951944764,7.2,16.523560759066484,-1,crime,2.0,mystery
584,0,The Breakfast Club,comedy,r,USA,0.323646151510982,0.0,1980,97.0,Feb,0.07533430637456796,7.8,13.815510557964274,1,drama,1.0,nan
610,2,Ladyhawke,adventure,pg-13,USA,0.4257451448195692,0.0,1980,121.0,Apr,0.0565173127597461,6.9,16.811242831518264,-1,comedy,1.0,drama
615,1,To Live and Die in L.A.,action,r,USA,0.28662811140198874,4.0,1980,116.0,Nov,0.06044556590993475,7.3,15.89495209964411,1,crime,0.0,drama
617,0,House,comedy,r,USA,0.23706652102292547,0.0,1980,93.0,Feb,0.06302380019383112,6.1,14.914122846632385,1,fantasy,1.0,horror
620,0,Friday the 13th: A New Beginning,horror,r,USA,0.161823075755491,0.0,1980,92.0,Mar,0.06421068576466084,4.7,14.603967918328545,1,mystery,1.0,thriller
624,1,The Sure Thing,comedy,pg-13,USA,0.0,0.0,1980,95.0,Mar,0.062009102571307886,7.0,15.319587954740548,1,drama,1.0,romance
634,2,White Nights,drama,pg-13,USA,0.323646151510982,0.0,1980,136.0,Dec,0.06508860130964206,6.6,16.811242831518264,1,music,0.0,nan
638,2,The Purple Rose of Cairo,comedy,pg,USA,0.5639501151910319,20.0,1980,82.0,Apr,0.055505661289033316,7.7,16.523560759066484,-1,fantasy,1.0,romance
641,1,Mishima: A Life in Four Chapters,biography,r,USA,0.0,0.0,1980,120.0,Sep,0.05548350525753828,7.9,15.424948470398375,-1,drama,0.0,nan
649,1,Agnes of God,drama,pg-13,USA,0.2639220690640782,11.0,1980,98.0,Sep,0.06272875909718491,6.6,16.11809565095832,1,mystery,3.0,nan
659,1,Compromising Positions,comedy,r,USA,0.0,0.0,1980,99.0,Aug,0.059443117913902214,5.9,15.60727002719233,1,drama,1.0,mystery
680,2,The Color of Money,drama,r,USA,0.41732584127791733,4.0,1980,119.0,Oct,0.0707355711176551,7.0,16.489659207390805,1,sport,1.0,nan
684,3,Cobra,action,r,USA,0.28662811140198874,2.0,1980,87.0,May,0.06576818791730096,5.8,17.034386382832476,1,crime,1.0,thriller
703,2,The Great Mouse Detective,animation,g,USA,0.20419798661717445,0.0,1980,74.0,Jul,0.06597889579717565,7.2,16.454567887579532,1,adventure,0.0,family
708,1,Raw Deal,action,r,USA,0.0,0.0,1980,106.0,Jun,0.05986849840296163,5.5,15.955576721460545,1,crime,1.0,thriller
715,0,Down by Law,comedy,r,USA,0.39888959677841646,0.0,1980,107.0,Sep,0.057229738061492515,7.7,13.9108207377686,1,crime,0.0,drama
722,2,Down and Out in Beverly Hills,comedy,r,USA,0.2639220690640782,3.0,1980,103.0,Jan,0.07447065352426664,6.2,16.454567887579532,1,nan,1.0,nan
724,1,Vamp,comedy,r,USA,0.20419798661717445,0.0,1980,93.0,Jul,0.057676503742729576,5.9,15.009433026436708,1,fantasy,0.0,horror
727,1,Firewalker,action,pg,USA,0.0,0.0,1980,105.0,Nov,0.05851032756773084,5.1,15.89495209964411,1,adventure,1.0,comedy
738,1,Violets Are Blue...,drama,pg-13,USA,0.0,4.0,1980,88.0,Apr,0.055184883045150485,5.8,16.11809565095832,-1,romance,2.0,nan
753,2,RoboCop,action,r,USA,0.5278441381281564,0.0,1980,102.0,Jul,0.07168608282132923,7.6,16.38045991542581,1,crime,1.0,sci-fi
759,2,Fatal Attraction,drama,r,USA,0.5318799443187473,1.0,1980,119.0,Sep,0.16766905271380372,6.9,16.454567887579532,1,thriller,2.0,nan
766,1,Raising Arizona,comedy,pg-13,USA,0.23706652102292547,0.0,1980,94.0,Apr,0.06545683818694314,7.3,15.60727002719233,1,crime,1.0,nan
